Action,Campaign,Campaign status,Budget,Budget type,Campaign type,Ad group,Ad group status,Ad type,Keyword,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Max CPC,Final URL
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,+букет +в +коробке +купить +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,Responsive search ad,,Букеты в коробке в Ташкент,Вау-букет за 5 минут онлайн?,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,+букет +в +коробке +купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,+купить +букет +в +коробке +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,+купить +букет +в +коробке,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,букет в коробке купить Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,букет в коробке купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,купить букет в коробке Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,купить букет в коробке,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,[букет в коробке купить Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,[букет в коробке купить],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,[купить букет в коробке Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет в коробке купить,,,[купить букет в коробке],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет недорого купить,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букет недорого купить,,,+купить +недорогой +букет +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет недорого купить,,Responsive search ad,,Купить букет недорого Ташкент,Доставка за 2 часа. Звоните,Почему дарят именно тюльпаны?,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букет недорого купить,,,+купить +недорогой +букет,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+сколько +стоит +букет +тюльпанов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,Responsive search ad,,Букет тюльпанов в Ташкент,Доставка за 2 часа. Звоните,Почему дарят именно тюльпаны?,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+сколько +стоит +букет +тюльпанов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+тюльпаны +букет +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+тюльпаны +букет +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+цена +букета +тюльпанов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+цена +букета +тюльпанов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+купить +букет +из +тюльпанов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов,,,+купить +букет +из +тюльпанов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов купить,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов купить,,,+купить +букет +тюльпанов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов купить,,Responsive search ad,,Купить тюльпаны в Ташкент,Доставка за 2 часа. Звоните,Почему дарят именно тюльпаны?,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букет тюльпанов купить,,,+купить +букет +тюльпанов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты из ромашек цена,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букеты из ромашек цена,,,+букет +из +ромашек +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты из ромашек цена,,Responsive search ad,,Сколько стоит букет ромашек?,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букеты из ромашек цена,,,+букет +из +ромашек +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букет +цветов +на +заказ +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,Responsive search ad,,Авторский букет за 2 часа?,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букет +цветов +на +заказ,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +на +заказ +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +на +заказ,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +под +заказ +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +под +заказ,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+оригинальный +букет +цветов +алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +на +заказ +недорого +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты на заказ,,,+букеты +на +заказ +недорого,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты онлайн,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букеты онлайн,,,+букет +онлайн +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты онлайн,,Responsive search ad,,Закажи Онлайн за 5 минут Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букеты онлайн,,,+букет +онлайн,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,,,+букет +тюльпанов +купить +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,,Responsive search ad,,Букет тюльпанов в Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,,,+букет +тюльпанов +купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,,,+букет +тюльпанов +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,букеты тюльпанов,,,+букет +тюльпанов +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,высокие розы цена,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,высокие розы цена,,,+высокие +розы +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,высокие розы цена,,Responsive search ad,,Высокие розы от 590 тг Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,высокие розы цена,,,+высокие +розы +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,гигантские розы купить,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,гигантские розы купить,,,+гигантские +розы +купить +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,гигантские розы купить,,Responsive search ad,,Высокие розы от 590 тг Ташкент,Доставка за 2 часа. Звоните,Как выглядят гигантские розы?,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,гигантские розы купить,,,+гигантские +розы +купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голландские розы,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,голландские розы,,,+голландская +роза +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голландские розы,,Responsive search ad,,Голландские розы в Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,голландские розы,,,+голландская +роза +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голландские розы,,,+голландские +розы +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голландские розы,,,+голландские +розы +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+голубые +розы +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,Responsive search ad,,Голубые розы от 590 тг Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+голубые +розы +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+голубые +розы +купить +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+голубые +розы +купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+купить +голубые +розы +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,голубые розы,,,+купить +голубые +розы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка 101 розы,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка 101 розы,,,+доставка +101 +розы +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка 101 розы,,Responsive search ad,,Доставка 101 розы в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка 101 розы,,,+доставка +101 +розы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,,,+букет +доставка +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,,Responsive search ad,,Доставка букетов в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,,,+букет +доставка,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,,,+букеты +цветов +с +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка букетов,,,+букеты +цветов +с +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка корзины,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка корзины,,,+корзина +цветов +с +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка корзины,,Responsive search ad,,Корзина цветов в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка корзины,,,+корзина +цветов +с +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка пионов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка пионов,,,+доставка +пионов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка пионов,,Responsive search ad,,Доставка пионов в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка пионов,,,+доставка +пионов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+купить +тюльпаны +с +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,Responsive search ad,,Купить тюльпаны в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+купить +тюльпаны +с +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+тюльпаны +доставка +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+тюльпаны +доставка,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+тюльпаны +с +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка тюльпанов,,,+тюльпаны +с +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+домтавка +цветов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,Responsive search ad,,Доставка цветов в Ташкент,Доставка за 2 часа. Звоните,Лучшие букеты и подарки,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+домтавка +цветов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставк +цветов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставк +цветов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +24 +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +24,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +в +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +в,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +день +в +день +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов +день +в +день,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+доставка +цветов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+купить +цветы +с +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+купить +цветы +с +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+сколько +стоит +доставка +цветов +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+сколько +стоит +доставка +цветов,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,доставка цветов,,,+сколько +стоят +цветы +Алматы,,,,,,0.5,
